movie_id,movie_name,year,decade,certificate,runtime_in_minutes,genre,rating,description,director,director_id,star,star_id,votes,gross_in_dollars
tt0104231,Far and Away,1992,1990s,PG-13,140,Adventure,6.6,"A young Irish couple flee to the States, but subsequently struggle to obtain land and prosper freely.",Ron Howard,/name/nm0000165/,"Tom Cruise, Nicole Kidman, Thomas Gibson, Robert Prosky","/name/nm0000129/,/name/nm0000173/,/name/nm0004959/,/name/nm0698764/",65212,58883840
tt0414853,Barnyard,2006,2000s,PG,90,Adventure,5.6,"When the farmer's away, all the animals play, and sing, and dance. Eventually, though, someone has to step in and run things, a responsibility that ends up going to Otis, a carefree cow.",Steve Oedekerk,/name/nm0644203/,"Kevin James, Courteney Cox, Danny Glover, Sam Elliott","/name/nm0416673/,/name/nm0001073/,/name/nm0000418/,/name/nm0000385/",32162,72779000
tt0184907,Snow Day,2000,2000s,PG,89,Adventure,5.1,"When a school in upstate New York is snowed in, a group of students hi-jack a plow to keep the school closed.",Chris Koch,/name/nm0462277/,"Chevy Chase, Mark Webber, Schuyler Fisk, Chris Elliott","/name/nm0000331/,/name/nm0916406/,/name/nm0004922/,/name/nm0254402/",13123,60020107
tt2528814,God's Not Dead,2014,2010s,PG,113,Adventure,4.6,"College philosophy professor Mr. Radisson's curriculum is challenged by his new student, Josh, who believes God exists.","Harold Cronk, Sreehari Purimetla",/name/nm1880561/,"Shane Harper, Kevin Sorbo, David A.R. White, Dean Cain","/name/nm10287477/,/name/nm2436499/,/name/nm0001757/,/name/nm0924684/,/name/nm0001002/",43402,60755732
tt0312004,The Curse of the Were-Rabbit,2005,2000s,G,85,Adventure,7.5,"Wallace and his loyal dog, Gromit, set out to discover the mystery behind the garden sabotage that plagues their village and threatens the annual giant vegetable growing contest.","Steve Box, Nick Park",/name/nm0101508/,"Peter Sallis, Helena Bonham Carter, Ralph Fiennes, Peter Kay","/name/nm0661910/,/name/nm0758608/,/name/nm0000307/,/name/nm0000146/,/name/nm0443153/",138628,56110897
tt6324278,Abominable,2019,2010s,PG,97,Adventure,7,Three teenagers must help a Yeti return to his family while avoiding a wealthy man and a zoologist who want him for their own needs.,"Jill Culton, Todd Wilderman",/name/nm0191717/,"Chloe Bennet, Albert Tsai, Tenzing Norgay Trainor, Joseph Izzo","/name/nm1392282/,/name/nm4032297/,/name/nm5294965/,/name/nm5529735/,/name/nm1660488/",39831,60716390
tt1667353,Mirror Mirror,2012,2010s,PG,106,Adventure,5.6,An evil queen steals control of a kingdom and an exiled princess enlists the help of seven resourceful rebels to win back her birthright.,Tarsem Singh,/name/nm0802248/,"Lily Collins, Julia Roberts, Armie Hammer, Nathan Lane","/name/nm2934314/,/name/nm0000210/,/name/nm2309517/,/name/nm0001447/",88786,64935167
tt0892318,Letters to Juliet,2010,2010s,PG,105,Adventure,6.5,"Sophie dreams of becoming a writer and travels to Verona, Italy where she meets the ""Secretaries of Juliet"".",Gary Winick,/name/nm0935095/,"Amanda Seyfried, Gael García Bernal, Vanessa Redgrave, Marcia DeBonis","/name/nm1086543/,/name/nm0305558/,/name/nm0000603/,/name/nm0213482/",102139,53032453
tt5523010,The Nutcracker and the Four Realms,2018,2010s,PG,99,Adventure,5.6,A young girl is transported into a magical world of gingerbread soldiers and an army of mice.,"Lasse Hallström, Joe Johnston",/name/nm0002120/,"Mackenzie Foy, Keira Knightley, Morgan Freeman, Helen Mirren","/name/nm0002653/,/name/nm3237775/,/name/nm0461136/,/name/nm0000151/,/name/nm0000545/",34993,54858851
tt0183523,Mission to Mars,2000,2000s,PG,114,Adventure,5.6,"When the first manned mission to Mars meets with a catastrophic and mysterious disaster after reporting an unidentified structure, a rescue mission is launched to investigate the tragedy and bring back any survivors.",Brian De Palma,/name/nm0000361/,"Tim Robbins, Gary Sinise, Don Cheadle, Connie Nielsen","/name/nm0000209/,/name/nm0000641/,/name/nm0000332/,/name/nm0001567/",74357,60883407
tt0104437,"Honey, I Blew Up the Kid",1992,1990s,PG,89,Adventure,4.9,"The Szalinski family is back, this time hilarious disaster strikes when an experiment causes their new toddler son to grow many stories tall.",Randal Kleiser,/name/nm0459170/,"Rick Moranis, Marcia Strassman, Robert Oliveri, Daniel Shalikar","/name/nm0001548/,/name/nm0833519/,/name/nm0647084/,/name/nm0787741/",45121,58662452
tt0787474,The Boxtrolls,2014,2010s,PG,96,Adventure,6.8,A young orphaned boy raised by underground cave-dwelling trash collectors tries to save his friends from an evil exterminator.,"Graham Annable, Anthony Stacchi",/name/nm0030253/,"Ben Kingsley, Jared Harris, Nick Frost, Richard Ayoade","/name/nm0820934/,/name/nm0001426/,/name/nm0364813/,/name/nm0296545/,/name/nm1547964/",59097,50837305
tt0299172,Home on the Range,2004,2000s,PG,76,Adventure,5.4,"To save their farm, the resident animals go bounty hunting for a notorious outlaw.","Will Finn, John Sanford",/name/nm0278181/,"Judi Dench, Cuba Gooding Jr., Jennifer Tilly, Randy Quaid","/name/nm0998551/,/name/nm0001132/,/name/nm0000421/,/name/nm0000236/,/name/nm0001642/",24023,50030461
