movie_id,movie_name,year,certificate,runtime_in_minutes,genre,rating,description,director,director_id,star,star_id,votes,gross_in_dollars
tt0237706,The Sculptress,2000,R,101,Data/Imdb/Horror,3.6,A young artist follows her passion to study at one of the finest art institutes in San Francisco.,Ian Merrick,/name/nm0581206/,"Jeff Fahey, Patrick Bauchau, Katie Wright, Emmanuelle Vaugier","/name/nm0001194/,/name/nm0000872/,/name/nm0942558/,/name/nm0891275/",210,9972
tt1092634,Shanghai,2010,R,105,Data/Imdb/Crime,6.4,A '40s period piece which revolves around an American expat who returns to Shanghai in the months before Pearl Harbor due to the death of his friend.,Mikael Håfström,/name/nm0405632/,"John Cusack, Gong Li, Chow Yun-Fat, David Morse","/name/nm0000131/,/name/nm0000084/,/name/nm0000334/,/name/nm0001556/",9924,44689
tt0093986,Slam Dance,1987,R,92,Data/Imdb/Crime,5.2,"An artist, framed for the murder of a woman, is drawn into a web of corruption, blackmail and deceit.",Wayne Wang,/name/nm0911061/,"Tom Hulce, Mary Elizabeth Mastrantonio, Virginia Madsen, Don Keith Opper","/name/nm0001371/,/name/nm0001512/,/name/nm0000515/,/name/nm0649210/",1670,406881
tt0092195,Weekend Warriors,1986,R,89,Data/Imdb/Action,4.4,"In 1961, with war looming in Berlin, an Air National Guard unit of actors, journalists and studio personnel is up for military academy consideration.",Bert Convy,/name/nm0176622/,"Chris Lemmon, Vic Tayback, Lloyd Bridges, Graham Jarvis","/name/nm0501422/,/name/nm0851861/,/name/nm0000978/,/name/nm0419054/",338,351623
tt0059243,The Great Race,1965,Passed,160,Data/Imdb/Action,7.2,"In the early 20th century, two rivals, the heroic Leslie and the despicable Professor Fate, engage in an epic automobile race from New York to Paris.",Blake Edwards,/name/nm0001175/,"Tony Curtis, Natalie Wood, Jack Lemmon, Peter Falk","/name/nm0000348/,/name/nm0000081/,/name/nm0000493/,/name/nm0000393/",18457,25333333
tt0101510,Bright Angel,1990,R,93,Data/Imdb/Thriller,5.4,"Road-movie from Montana to Wyoming. A gullible, innocent young man (Mulroney) assists a versatile girl (Taylor) on her long quest to get her brother out of jail.",Michael Fields,/name/nm0276317/,"Dermot Mulroney, Lili Taylor, Sam Shepard, Valerie Perrine","/name/nm0000551/,/name/nm0000666/,/name/nm0001731/,/name/nm0674781/",681,158243
tt1663207,Life of Crime,2013,R,98,Data/Imdb/Crime,5.8,Two common criminals get more than they bargained for after kidnapping the wife of a corrupt real-estate developer who shows no interest in paying the $1 million dollar ransom for her safe return.,Daniel Schechter,/name/nm1633080/,"Jennifer Aniston, Yasiin Bey, Isla Fisher, Will Forte","/name/nm0000098/,/name/nm0080049/,/name/nm0279545/,/name/nm0287182/",19521,261695
tt5358570,Like for Likes,2016,PG-13,120,Data/Imdb/Romance,6.4,Three couples rely on social media to communicate their innermost feelings.,Hyeon-jin Park,/name/nm3016523/,"Mi-yeon Lee, Choi Ji-woo, Ju-hyuk Kim, Yoo Ah-in","/name/nm0497870/,/name/nm0158830/,/name/nm1030523/,/name/nm2584860/",675,50839
tt0122194,Trash,1999,NA,95,Data/Imdb/Biography,5.6,"A spiraling tale of violence, hatred, love and loyalty about two friends growing up in the poverty stricken South who learn that the only way for each of them to escape is by sacrificing the other.",Mark Anthony Galluzzo,/name/nm0303254/,"Jeremy Sisto, Eric Michael Cole, Jaime Pressly, Grace Zabriskie","/name/nm0005438/,/name/nm0170541/,/name/nm0005326/,/name/nm0951471/",387,5154
tt2210834,Jimmy P: Psychotherapy Of A Plains Indian,2013,Unrated,117,Data/Imdb/Biography,6.1,A troubled Native American veteran forms an extraordinary friendship with his maverick French psychoanalyst as they try to find a cure to his suffering.,Arnaud Desplechin,/name/nm0221611/,"Benicio Del Toro, Mathieu Amalric, Gina McKee, Larry Pine","/name/nm0001125/,/name/nm0023832/,/name/nm0571160/,/name/nm0683978/",2991,23220
tt0066251,Promise at Dawn,1970,GP,99,Data/Imdb/Biography,6.5,"A Soviet silent-film actress (Melina Mercouri) raises her illegitimate son, who becomes the writer Romain Gary (Assaf Dayan).",Jules Dassin,/name/nm0202088/,"Melina Mercouri, Assi Dayan, Didier Haudepin, François Raffoul","/name/nm0580479/,/name/nm0206646/,/name/nm0369201/,/name/nm0706319/",189,433740
tt0094828,Camille Claudel,1988,R,175,Data/Imdb/Biography,7.2,"Camille Claude impresses already-famous sculptor Auguste Rodin. He hires her as an assistant, but soon Camille begins to sculpt for herself and she also becomes his mistress. But after a while, she would like to get out of his shadow.",Bruno Nuytten,/name/nm0005814/,"Isabelle Adjani, Gérard Depardieu, Madeleine Robinson, Laurent Grévill","/name/nm0000254/,/name/nm0000367/,/name/nm0732877/,/name/nm0344932/",6985,201055
tt0069336,Sweet Sugar,1972,R,90,Data/Imdb/Action,5.2,Prostitute Sugar is set up by a corrupt politician. She is convinced of the futility of appealing her case in the courts and signs on to a chain gang run by the notorious Dr. John who ...                See full summary »,Michel Levesque,/name/nm0505392/,"Phyllis Davis, Ellaraino, Timothy Brown, Pamela Collins","/name/nm0205295/,/name/nm0249974/,/name/nm0114790/,/name/nm0172584/",693,36067
tt0101025,"Oh, Carmela!",1990,PG-13,102,Data/Imdb/War,7.1,"During the Spanish Civil War, a group of comics lightens the days of the Republican troops. Tired of life in the front lines, they make their way to Valencia, accidentally entering enemy land and falling prisoner.",Carlos Saura,/name/nm0767022/,"Carmen Maura, Andrés Pajares, Gabino Diego, Armando De Razza","/name/nm0560962/,/name/nm0657004/,/name/nm0225916/,/name/nm0211089/",3076,299090
tt3142232,Heropanti,2014,Not Rated,146,Data/Imdb/Action,5.2,Two young people find love despite the violent landscape in which they live.,Sabir Khan,/name/nm1287649/,"Tiger Shroff, Kriti Sanon, Parthaa Akerkar, Sunil Grover","/name/nm5899377/,/name/nm5305841/,/name/nm3124376/,/name/nm1571487/",9977,63051
tt0089175,Fright Night,1985,R,106,Data/Imdb/Fantasy,7,"A teenager discovers that the newcomer in his neighborhood is a vampire, so he turns to an actor in a television horror show for help dealing with the undead.",Tom Holland,/name/nm0276169/,"Chris Sarandon, William Ragsdale, Amanda Bearse, Roddy McDowall","/name/nm0001697/,/name/nm0706619/,/name/nm0000294/,/name/nm0001522/",73142,24922237
tt1446192,Rise of the Guardians,2012,PG,97,Data/Imdb/Action,7.2,"When the evil spirit Pitch launches an assault on Earth, the Immortal Guardians team up to protect the innocence of children all around the world.",Peter Ramsey,/name/nm0709056/,"Hugh Jackman, Alec Baldwin, Isla Fisher, Chris Pine","/name/nm0413168/,/name/nm0000285/,/name/nm0279545/,/name/nm1517976/",180100,103412758
tt1424327,Eyes Wide Open,2009,Not Rated,91,Data/Imdb/Romance,7.3,"A married, Orthodox, Jerusalem butcher and Jewish father of four falls in love with his handsome, 22-year-old male apprentice, triggering the suspicions of his wife and the disapproval of his Orthodox community.",Haim Tabakman,/name/nm2173202/,"Zohar Strauss, Ran Danker, Tinkerbell, Tzahi Grad","/name/nm1364521/,/name/nm1763736/,/name/nm0863992/,/name/nm0333523/",6456,24708
tt5165344,Rustom,2016,Not Rated,148,Data/Imdb/Crime,7,"A naval officer returns home to find out about his wife's affair. Soon, he surrenders after murdering the lover but as the case unfolds, it starts to reveal his hidden intention.",Tinu Suresh Desai,/name/nm4819186/,"Akshay Kumar, Ileana D'Cruz, Arjan Bajwa, Esha Gupta","/name/nm0474774/,/name/nm2299825/,/name/nm1480555/,/name/nm3373271/",27228,1087419
tt0111666,War of the Buttons,1994,PG,94,Data/Imdb/Adventure,7.4,"The children of Ballydowse and Carrickdowse engage in battles in which they cut off the buttons, shoelaces, and underwear of their captured opponents, in order to get the boys in trouble ...                See full summary »",John Roberts,/name/nm0731253/,"Gregg Fitzgerald, Gerard Kearney, Darragh Naughton, Brendan McNamara","/name/nm0280249/,/name/nm1918199/,/name/nm0622543/,/name/nm0573657/",4429,12712
tt4217392,Kung Fu Yoga,2017,Not Rated,107,Data/Imdb/Action,5.1,"Two professors team up to locate a lost treasure and embark on an adventure that takes them from a Tibetan ice cave to Dubai, and to a mountain temple in India.",Stanley Tong,/name/nm0867262/,"Jackie Chan, Yixing Zhang, Miya Muqi, Disha Patani","/name/nm0000329/,/name/nm7344694/,/name/nm7094216/,/name/nm7796669/",10645,362657
tt0120363,Toy Story 2,1999,G,92,Data/Imdb/Adventure,7.9,"When Woody is stolen by a toy collector, Buzz and his friends set out on a rescue mission to save Woody before he becomes a museum toy property with his roundup gang Jessie, Prospector, and Bullseye.","John Lasseter, Ash Brannon, Lee Unkrich",/name/nm0005124/,"Tom Hanks, Tim Allen, Joan Cusack, Kelsey Grammer","/name/nm0105169/,/name/nm0881279/,/name/nm0000158/,/name/nm0000741/,/name/nm0000349/,/name/nm0001288/",587789,245852179
tt2080374,Steve Jobs,2015,R,122,Data/Imdb/Biography,7.2,"Steve Jobs takes us behind the scenes of the digital revolution, to paint a portrait of the man at its epicenter. The story unfolds backstage at three iconic product launches, ending in 1998 with the unveiling of the iMac.",Danny Boyle,/name/nm0000965/,"Michael Fassbender, Kate Winslet, Seth Rogen, Jeff Daniels","/name/nm1055413/,/name/nm0000701/,/name/nm0736622/,/name/nm0001099/",172006,17766658
tt0480687,Hall Pass,2011,R,105,Data/Imdb/Romance,5.9,"Rick and Fred, two husbands who are having difficulty in their marriages, are given a Hall Pass by their wives: for one week, they can do whatever they want.","Bobby Farrelly, Peter Farrelly",/name/nm0125803/,"Owen Wilson, Jason Sudeikis, Christina Applegate, Jenna Fischer","/name/nm0268380/,/name/nm0005562/,/name/nm0837177/,/name/nm0000775/,/name/nm0278979/",127617,45060734
tt2120120,Pixels,2015,PG-13,105,Data/Imdb/Action,5.6,"When aliens misinterpret video feeds of classic arcade games as a declaration of war, they attack the Earth in the form of the video games.",Chris Columbus,/name/nm0001060/,"Adam Sandler, Kevin James, Michelle Monaghan, Peter Dinklage","/name/nm0001191/,/name/nm0416673/,/name/nm1157358/,/name/nm0227759/",147709,78747585
tt3450650,Paul Blart: Mall Cop 2,2015,PG,94,Data/Imdb/Action,4.4,"After six years of keeping our malls safe, Paul Blart has earned a well-deserved vacation. He heads to Las Vegas with his teenage daughter before she heads off to college. But safety never takes a holiday and when duty calls, Blart answers.",Andy Fickman,/name/nm0275698/,"Kevin James, Raini Rodriguez, Eduardo Verástegui, Daniella Alonso","/name/nm0416673/,/name/nm2263115/,/name/nm0895150/,/name/nm0022161/",38603,71038190
tt0479042,G.I. Jesus,2006,R,100,Data/Imdb/Fantasy,5.1,"A Mexican national, Jesus Feliciano, returning to California from Iraq where he had soldiered in exchange for grant of US citizenship, suffers trauma related to his battle experience and imagines his family life threatened.",Carl Colpaert,/name/nm0173207/,"Joe Arquette, Patrícia Mota, Telana Lynum, Maurizio Rasti","/name/nm1832116/,/name/nm0609297/,/name/nm2063640/,/name/nm1867180/",134,8528
tt1491044,The Iceman,2012,R,106,Data/Imdb/Biography,6.8,"The story of Richard Kuklinski, the notorious contract killer and family man. When he was finally arrested in 1986, neither his wife nor his daughters had any clue about his real profession.",Ariel Vromen,/name/nm1033517/,"Michael Shannon, Chris Evans, James Franco, Winona Ryder","/name/nm0788335/,/name/nm0262635/,/name/nm0290556/,/name/nm0000213/",76417,1939441
tt0160484,Lost Souls,2000,R,97,Data/Imdb/Horror,4.8,"A Catholic teacher meets an atheist journalist, whom a group of Catholics and Priests believes has been chosen by the devil to be the Antichrist.",Janusz Kaminski,/name/nm0001405/,"Winona Ryder, Ben Chaplin, Sarah Wynter, Philip Baker Hall","/name/nm0000213/,/name/nm0001035/,/name/nm0944077/,/name/nm0001311/",11095,16779636
tt0047396,Rear Window,1954,PG,112,Data/Imdb/Mystery,8.5,"A wheelchair-bound photographer spies on his neighbors from his Greenwich Village courtyard apartment window, and becomes convinced one of them has committed murder, despite the skepticism of his fashion-model girlfriend.",Alfred Hitchcock,/name/nm0000033/,"James Stewart, Grace Kelly, Wendell Corey, Thelma Ritter","/name/nm0000071/,/name/nm0000038/,/name/nm0179819/,/name/nm0728812/",495801,36764313
tt0484740,Love in the Time of Cholera,2007,R,139,Data/Imdb/Romance,6.4,"Florentino, rejected by the beautiful Fermina at a young age, devotes much of his adult life to carnal affairs as a desperate attempt to heal his broken heart.",Mike Newell,/name/nm0001565/,"Javier Bardem, Giovanna Mezzogiorno, Benjamin Bratt, Gina Bernard Forbes","/name/nm0000849/,/name/nm0583856/,/name/nm0000973/,/name/nm2825905/",23582,4607608
tt0015465,Wages of Virtue,1924,NA,70,Data/Imdb/Romance,7.3,Add a Plot,Allan Dwan,/name/nm0245385/,"Gloria Swanson, Ben Lyon, Norman Trevor, Ivan Linow","/name/nm0841797/,/name/nm0528908/,/name/nm0872476/,/name/nm0513103/",19,237847
tt1736636,Nobody Else But You,2011,Not Rated,102,Data/Imdb/Crime,6.6,"A bestselling crime novelist who is desperately looking for a new story hones his focus on the apparent suicide of a small-town woman, an aspiring model who thought she was the reincarnation of Marilyn Monroe.",Gérald Hustache-Mathieu,/name/nm0404080/,"Jean-Paul Rouve, Sophie Quinton, Guillaume Gouix, Arsinée Khanjian","/name/nm0746162/,/name/nm1070112/,/name/nm0332267/,/name/nm0451376/",2714,42580
tt2385952,Mahogany Sunrise,2014,NA,100,Data/Imdb/Crime,5.6,A struggling musician falls for a charismatic burlesque dancer while getting entangled with hired guns and a border town gang bent on killing him.,R. Scott Leisk,/name/nm3279125/,"Wesley Blake, Denise Downs, Jesse Campos, Drew Whelpley","/name/nm2973687/,/name/nm3932790/,/name/nm4336322/,/name/nm2944553/",1299,3500
tt0120366,Traveller,1997,R,101,Data/Imdb/Crime,6.1,A man joins a group of nomadic con artists in rural North Carolina.,Jack N. Green,/name/nm0005726/,"Bill Paxton, Mark Wahlberg, Julianna Margulies, James Gammon","/name/nm0000200/,/name/nm0000242/,/name/nm0000523/,/name/nm0304000/",2177,500649
